Name1	Name2	Edge type	Edge weight
ANKRD13D	ARAP1	1	-0.059868464140670714
ANKRD17	ANKRD17	1	1.005639948967574
ANKRD17	ARID1A	1	-0.07531107482920962
ANKRD2	ANKRD2	1	1.103470166689872
ANKRD2	ANKRD23	1	-0.1146389721763268
ANKRD2	ASB2	1	-0.06662927846549421
ANKRD23	ANKRD23	1	1.036718374532404
ANKRD27	ANKRD27	1	0.9999999999999998
ANKRD28	ANKRD28	1	1.0
ANKRD32	ANKRD32	1	0.9999999999999998
ANKRD34B	ANKRD34B	1	1.000000000000001
ANKRD37	ANKRD37	1	1.007706948047697
ANKRD37	ARID1A	1	0.08069171089397631
ANKRD39	ANKRD39	1	1.000000000000001
ANKRD52	ANKRD52	1	0.9999999999999998
ANKRD55	ANKRD55	1	1.0
ANKRD9	ANKRD9	1	0.9999999999999998
ANKS1A	ANKS1A	1	1.004858189728386
ANKS1A	ARID1A	1	-0.034199927711100364
ANO10	ANO10	1	0.9999999999999998
ANO6	ANO6	1	1.001438464652549
ANO6	ENST00000218516.3	2	-0.01346752760804293
ANO8	ANO8	1	1.00377102147545
ANO8	ARL4C	1	0.01896072435204665
ANO8	ENST00000228740.2	2	-0.04302540090329923
ANO9	ANO9	1	1.0
ANP32E	ANP32E	1	0.9999999999999996
ANPEP	ANPEP	1	0.9999999999999998
ANTXR2	ANTXR2	1	1.0
ANXA1	ANXA1	1	1.00286879583328
ANXA1	ARHGDIB	1	-0.05363791404234103
ANXA2R	ANXA2R	1	1.0
ANXA4	ANXA4	1	1.008132218014698
ANXA4	APEH	1	-0.053138792643748434
ANXA4	ARFGAP2	1	-0.053773399121856635
ANXA4	ENST00000218388.4	2	0.02183113443499682
ANXA4	ENST00000247655.3	2	-0.02239414513411289
ANXA5	ANXA5	1	1.0
ANXA6	ANXA6	1	1.0029108697419458
ANXA9	ANXA9	1	0.9999999999999998
AOAH	AOAH	1	1.000000000000001
AOC1	AOC1	1	1.0
AOC2	AOC2	1	0.9999999999999998
AP001816.1	AP001816.1	1	0.9999999999999998
AP006621.5	AP006621.5	1	0.9999999999999998
AP1AR	AP1AR	1	1.007681395309084
AP1AR	ARHGEF6	1	0.08505130619927015
AP1AR	AURKAIP1	1	-0.02234956451851094
AP1B1	AP1B1	1	1.0
AP1G2	AP1G2	1	1.02166426934901
AP1G2	AUP1	1	-0.1127917600041172
AP1G2	ENST00000221554.8	2	-0.008509386263992752
AP1M1	AP1M1	1	1.010310709104815
AP1M1	APEH	1	-0.0479677550214847
AP1M1	ARHGEF6	1	-0.01128334604422632
AP1M1	ARMC8	1	-0.003827682685507539
